service,unit_basis,rate_cents,daily_cap,identity_rates_cents
Advanced Infectious Isolation Room Occupancy,per_day,164825,24,
Assisted Infectious Telemetry Monitoring,per_hour_per_item,10625,,
Comprehensive Otolaryngologic Case Conference,per_visit,16525,,
Emergency Renal Infusion Therapy,per_hour,5925,,
Focused Palliative Recovery Room Occupancy,per_night,52775,,
Intensive Otolaryngologic Rehabilitation Programme,per_day,97200,,
Intermittent Ophthalmic Anaesthesia Administration,per_procedure,391950,,
Postoperative Orthopaedic Isolation Room Occupancy,per_night,120475,,90350
Preoperative Vascular Imaging Interpretation,per_test,9100,,
Specialist Psychiatric Sterilisation Service,per_procedure,213700,,
Supervised Haematology Biopsy Procedure,per_item,20800,,
Advanced Dermatologic Specimen Analysis,per_item,22150,24,
Assisted Musculoskeletal Diagnostic Imaging,per_item,18050,,
Continuous Renal Ventilation Support,per_day,54325,,
Emergency Haematology Transport Service,per_visit,9675,,
Focused Cardiac Dialysis Session,per_procedure,237000,6,
Intensive Palliative Ward Bed Occupancy,per_day,136725,,
Intermittent Psychiatric Laboratory Panel,per_test,50475,,
Postoperative Pulmonary Infusion Therapy,per_unit_dispensed,6725,,
Preoperative Obstetric Home Visit,per_visit,18475,,
Standard Neurological Isolation Room Occupancy,per_day,78075,,
Supervised Metabolic Laboratory Panel,per_item,7925,,
Advanced Rheumatologic Isolation Room Occupancy,per_night,141675,,
Assisted Gastrointestinal Biopsy Procedure,per_procedure,379625,,
Continuous Otolaryngologic Discharge Planning,per_visit,19325,,
Extended Orthopaedic Radiotherapy Fraction,per_item,27900,,
Focused Vascular Transfusion Service,per_procedure,450700,,
Intensive Paediatric Infusion Therapy,per_unit_dispensed,2900,,
Intermittent Otolaryngologic Rehabilitation Programme,per_visit,30775,,
Postoperative Cardiac Physiotherapy Session,per_visit,33775,,
Preoperative Obstetric Physiotherapy Session,per_visit,12800,4,
Standard Orthopaedic Isolation Room Occupancy,per_day,33275,,27275
Supervised Rheumatologic Critical Care Occupancy,per_night,72800,,
Advanced Gastrointestinal Endoscopic Procedure,per_procedure,377750,,
Bedside Obstetric Physiotherapy Session,per_hour,6950,,5200
Elective Cardiac Nursing Observation,per_hour,6775,,
Extended Otolaryngologic Nutritional Support,per_night,54975,,
Focused Ophthalmic Laboratory Panel,per_test,26800,,
Intensive Infectious Physiotherapy Session,per_visit,34475,,
Outpatient Haematology Biopsy Procedure,per_procedure,89775,,73625
Postoperative Vascular Transport Service,per_visit,15025,,
Routine Geriatric Physiotherapy Session,per_hour,21250,,
Standard Metabolic Telemetry Monitoring,per_hour,16400,,
Supervised Hepatic Endoscopic Procedure,per_procedure,249825,,
Advanced Endocrine Case Conference,per_visit,17400,,
Bedside Ophthalmic Radiotherapy Fraction,per_procedure,123550,,
Elective Cardiac Transport Service,per_item,9125,,
Extended Dermatologic Specimen Analysis,per_test,35200,,
Inpatient Ophthalmic Recovery Room Occupancy,per_hour,7725,,
Intensive Neurological Rehabilitation Programme,per_visit,14125,12,
Postoperative Neurological Rehabilitation Programme,per_day,52250,,
Preoperative Neurological Isolation Room Occupancy,per_night,170475,,
Routine Ophthalmic Laboratory Panel,per_item,23100,,
Standard Paediatric Infusion Therapy,per_hour,12750,4,
Supervised Musculoskeletal Diagnostic Imaging,per_procedure,424475,,
Ambulatory Vascular Infusion Therapy,per_hour,4225,,
Bedside Pulmonary Pharmaceutical Dispensing,per_unit_dispensed,6900,,5875
Emergency Pulmonary Ventilation Support,per_day,54675,,
Extended Vascular Home Visit,per_visit,43200,,
Inpatient Orthopaedic Recovery Room Occupancy,per_night,52100,,
Intermittent Orthopaedic Recovery Room Occupancy,per_hour,12600,,
Postoperative Ophthalmic Anaesthesia Administration,per_hour,20625,,
Preoperative Orthopaedic Ventilation Support,per_night,84325,,
Routine Infectious Isolation Room Occupancy,per_night,191325,,
Standard Musculoskeletal Recovery Room Occupancy,per_night,87050,,
Supervised Neurological Imaging Interpretation,per_procedure,77200,6,
Ambulatory Haematology Nutritional Support,per_unit_dispensed,8675,,
Comprehensive Haematology Transport Service,per_item,16650,,14150
Emergency Paediatric Theatre Time,per_hour,8500,,
Focused Pulmonary Pharmaceutical Dispensing,per_item,10050,,
Inpatient Paediatric Isolation Room Occupancy,per_night,148400,,
Intermittent Cardiac Specimen Analysis,per_item,26675,,
Postoperative Paediatric Theatre Time,per_hour,34000,6,
Preoperative Cardiac Specimen Analysis,per_test,5375,,
Routine Neurological Imaging Interpretation,per_test,11375,,
Standard Psychiatric Transfusion Service,per_unit_dispensed,7025,,
