line_id,invoice_id,line_no,service_date,description,quantity,unit_basis_as_billed,unit_price_cents,line_total_cents,matched_service,match_score,match_margin,expected_unit_basis,base_rate_cents,daily_cap,amended_rate_cents,amendment_effective_date,available_from,service_not_yet_contracted,unit_basis_matches,base_price_matches,suspected_unknown_service
H3-L00093-09,INV-H3-000093,9,2024-03-24,administration - inpt hepatic anaes /RM-1221,2,per_procedure,163525,327050,Outpatient Infectious Anaesthesia Administration,82.6086956521739,3.487816531294783,per_hour,11950,,,,2024-01-01,False,False,False,True
H3-L00126-07,INV-H3-000126,7,2024-04-19,metab diagnostic img /RM-3735,1,per_day,131100,131100,Comprehensive Palliative Diagnostic Imaging,78.26086956521739,0.0,per_procedure,163525,,,,2024-01-01,False,False,False,True
H3-L00183-03,INV-H3-000183,3,2024-06-06,elect - gastrointestinal disch plng /RM-9438,2,per_procedure,163525,327050,Specialist Psychiatric Discharge Planning,68.23529411764706,2.7807486631016047,per_visit,38650,,44050.0,2025-01-01,2024-01-01,False,False,False,True
H3-L00284-01,INV-H3-000284,1,2024-08-18,intermittent infect cs conf /RM-4829,1,per_procedure,123075,123075,Intermittent Infectious Theatre Time,77.96610169491525,14.136314460872695,per_hour,13900,,,,2024-01-01,False,False,False,True
H3-L00519-11,INV-H3-000519,11,2025-01-18,foc - rheum consult /RM-2110,11,per_item,23125,254375,Focused Urologic Telemetry Monitoring,64.7887323943662,4.029238723480134,per_hour_per_item,5225,,,,2024-01-01,False,False,False,True
H3-L00565-01,INV-H3-000565,1,2025-02-23,compr oncology wnd cr /RM-4911,6,per_night,110525,663150,Comprehensive Orthopaedic Wound Care,84.21052631578948,21.71052631578948,per_item,16600,,,,2024-01-01,False,False,False,True
H3-L00619-02,INV-H3-000619,2,2025-04-14,monitoring - outpt metabolic telem,21,per_hour,6025,126525,Inpatient Metabolic Infusion Therapy,70.12987012987013,-0.0455684666211055,per_hour,14850,,,,2024-01-01,False,True,False,True
H3-L00687-08,INV-H3-000687,8,2025-06-12,conf  preop paed,3,per_night,49050,147150,Preoperative Paediatric Laboratory Panel,80.7017543859649,14.035087719298248,per_test,44500,,,,2024-01-01,False,False,False,True
H3-L00687-11,INV-H3-000687,11,2025-06-11,vst - intens infectious home,12,per_item,15075,180900,Intensive Infectious Anaesthesia Administration,78.43137254901961,20.46035805626599,per_procedure,312350,4.0,312350.0,2025-01-01,2024-01-01,False,False,False,True
H3-L00781-06,INV-H3-000781,6,2025-08-28,amb msk disch planning /RM-1463,1,per_procedure,163525,163525,Advanced Metabolic Discharge Planning,65.85365853658536,0.737379466817913,per_hour,21075,,,,2024-01-01,False,False,False,True
H3-L00785-07,INV-H3-000785,7,2025-09-02,emer  - msk inf therapy,4,per_item,27625,110500,Advanced Musculoskeletal Radiotherapy Fraction,70.45454545454545,4.600886917960096,per_procedure,348975,,,,2024-01-01,False,False,False,True
H3-L00794-03,INV-H3-000794,3,2025-09-08,cont - rheum critical cr occ,1,per_procedure,368575,368575,Continuous Immunologic Critical Care Occupancy,89.36170212765957,16.345829111786557,per_hour,20725,,,,2024-01-01,False,False,False,True
H3-L00934-03,INV-H3-000934,3,2025-12-24,elect vascular physio sess /RM-8458,2,per_night,49050,98100,Elective Palliative Physiotherapy Session,86.95652173913044,16.956521739130437,per_hour,18800,,,,2024-01-01,False,False,False,True
H3-L00935-04,INV-H3-000935,4,2025-12-24,intens - steril svc,1,per_procedure,163525,163525,Bedside Pulmonary Sterilisation Service,80.76923076923077,0.0,per_procedure,381825,,,,2024-01-01,False,True,False,True
