service,unit_basis,rate_cents,daily_cap
Advanced Cardiac Recovery Room Occupancy,per_hour,20000,
Advanced Haematology Physiotherapy Session,per_hour,10150,
Advanced Infectious Critical Care Occupancy,per_day,70925,
Advanced Metabolic Anaesthesia Administration,per_hour,9200,
Advanced Metabolic Nursing Observation,per_day,130125,6
Advanced Neurological Consultation,per_visit,14125,
Advanced Rheumatologic Laboratory Panel,per_test,14775,4
Ambulatory Cardiac Home Visit,per_visit,28425,
Ambulatory Immunologic Endoscopic Procedure,per_procedure,607900,
Ambulatory Immunologic Ward Bed Occupancy,per_day,87250,
Ambulatory Infectious Home Visit,per_visit,8225,
Ambulatory Musculoskeletal Ward Bed Occupancy,per_night,154575,
Ambulatory Ophthalmic Case Conference,per_visit,16925,
Ambulatory Ophthalmic Dialysis Session,per_procedure,479825,
Ambulatory Psychiatric Dialysis Session,per_procedure,355550,
Ambulatory Pulmonary Recovery Room Occupancy,per_night,112825,
Ambulatory Urologic Imaging Interpretation,per_test,42700,
Assisted Gastrointestinal Infusion Therapy,per_hour,8925,
Assisted Geriatric Infusion Therapy,per_unit_dispensed,7825,
Assisted Infectious Discharge Planning,per_hour,8875,
Assisted Pulmonary Theatre Time,per_hour,6700,
Assisted Urologic Home Visit,per_visit,13625,
Bedside Otolaryngologic Recovery Room Occupancy,per_night,150450,
Bedside Psychiatric Dialysis Session,per_visit,20575,
Bedside Pulmonary Biopsy Procedure,per_procedure,316825,
Comprehensive Infectious Nursing Observation,per_day,169825,
Comprehensive Oncology Nursing Observation,per_hour,8475,12
Comprehensive Otolaryngologic Rehabilitation Programme,per_visit,27025,
Comprehensive Otolaryngologic Theatre Time,per_hour,32100,
Comprehensive Psychiatric Transfusion Service,per_procedure,383650,
Comprehensive Urologic Transport Service,per_visit,42750,
Continuous Cardiac Nursing Observation,per_hour,9875,
Continuous Immunologic Theatre Time,per_hour,20975,
Continuous Musculoskeletal Wound Care,per_day,36800,
Continuous Obstetric Rehabilitation Programme,per_day,112400,
Continuous Otolaryngologic Telemetry Monitoring,per_day,111975,
Continuous Psychiatric Rehabilitation Programme,per_visit,20300,
Continuous Pulmonary Wound Care,per_day,144900,
Continuous Vascular Pharmaceutical Dispensing,per_unit_dispensed,6750,
Elective Cardiac Nutritional Support,per_day,158625,
Elective Pulmonary Nutritional Support,per_unit_dispensed,7450,
Emergency Dermatologic Case Conference,per_hour,3775,
Emergency Orthopaedic Consultation,per_procedure,418900,
Emergency Orthopaedic Rehabilitation Programme,per_visit,28950,
Emergency Renal Radiotherapy Fraction,per_item,11000,
Extended Geriatric Wound Care,per_item,10100,
Extended Metabolic Isolation Room Occupancy,per_night,87300,
Extended Palliative Laboratory Panel,per_test,17850,
Extended Renal Transport Service,per_item,25650,
Extended Vascular Rehabilitation Programme,per_day,65400,
Focused Immunologic Physiotherapy Session,per_hour,3300,
Focused Orthopaedic Transport Service,per_visit,42100,
Focused Otolaryngologic Wound Care,per_visit,24725,
Inpatient Endocrine Dialysis Session,per_procedure,81750,
Inpatient Hepatic Physiotherapy Session,per_visit,42600,
Inpatient Musculoskeletal Ward Bed Occupancy,per_day,35625,
Inpatient Ophthalmic Radiotherapy Fraction,per_item,25300,
